attendance,away_final_score,away_team,date,elapsed_time,g_id,home_final_score,home_team,start_time,umpire_HP,venue_name,weather,wind,delay_min
10251,0,sdn,8/17/2016,152,201601792,2,tba,1:10 PM,Fieldin Culbreth,Tropicana Field,"72 degrees, dome","0 mph, None",0
36950,4,sea,8/17/2016,217,201601793,3,ana,7:08 PM,Alan Porter,Angel Stadium of Anaheim,"82 degrees, clear","5 mph, R to L",0
27508,8,sln,8/17/2016,179,201601794,2,hou,1:10 PM,Bill Miller,Minute Maid Park,"73 degrees, roof closed","0 mph, None",0
37736,7,tor,8/17/2016,167,201601795,4,nya,1:09 PM,Tripp Gibson III,Yankee Stadium,"85 degrees, partly cloudy","16 mph, L to R",0
25308,10,was,8/17/2016,232,201601796,12,col,1:12 PM,Clint Fagan,Coors Field,"85 degrees, sunny","4 mph, Out to RF",0
32103,8,ari,8/18/2016,229,201601797,9,sdn,7:10 PM,Mike Winters,Petco Park,"77 degrees, clear","10 mph, L to R",0
34649,3,bos,8/18/2016,203,201601798,4,det,1:10 PM,Scott Barry,Comerica Park,"80 degrees, partly cloudy","1 mph, Out to LF",0
12982,4,cha,8/18/2016,180,201601799,5,cle,7:10 PM,Adrian Johnson,Progressive Field,"79 degrees, partly cloudy","7 mph, In from CF",0
20288,5,hou,8/18/2016,160,201601800,13,bal,7:07 PM,Bob Davidson,Oriole Park at Camden Yards,"87 degrees, partly cloudy","7 mph, L to R",0
29187,4,lan,8/18/2016,174,201601801,5,phi,7:07 PM,Jerry Meals,Citizens Bank Park,"86 degrees, partly cloudy","6 mph, L to R",0
14108,4,mia,8/18/2016,160,201601802,5,cin,7:10 PM,Pat Hoberg,Great American Ball Park,"82 degrees, partly cloudy","7 mph, Varies",0
41407,6,mil,8/18/2016,201,201601803,9,chn,1:20 PM,Rob Drake,Wrigley Field,"84 degrees, sunny","9 mph, Varies",0
30599,1,min,8/18/2016,135,201601804,8,kca,7:15 PM,Todd Tichenor,Kauffman Stadium,"87 degrees, clear","13 mph, R to L",0
41517,7,nyn,8/18/2016,210,201601805,10,sfn,7:15 PM,Brian Gorman,AT&T Park,"61 degrees, partly cloudy","12 mph, Out to CF",0
37721,4,sea,8/18/2016,178,201601806,6,ana,7:09 PM,Jeff Kellogg,Angel Stadium of Anaheim,"80 degrees, clear","7 mph, Out to CF",0
24099,8,was,8/18/2016,212,201601807,2,atl,8:26 PM,Tom Hallion,Turner Field,"74 degrees, drizzle","4 mph, In from CF",76
26080,4,ari,8/19/2016,238,201601808,7,sdn,7:40 PM,Mike Muchlinski,Petco Park,"74 degrees, clear","13 mph, L to R",0
36108,10,bos,8/19/2016,166,201601809,2,det,7:10 PM,Jerry Layne,Comerica Park,"79 degrees, cloudy","8 mph, R to L",0
43950,6,chn,8/19/2016,227,201601810,7,col,8:50 PM,John Tumpane,Coors Field,"53 degrees, cloudy","8 mph, In from LF",130
34422,15,hou,8/19/2016,183,201601811,8,bal,7:06 PM,Dan Iassogna,Oriole Park at Camden Yards,"86 degrees, clear","4 mph, In from CF",0
28184,2,lan,8/19/2016,219,201601812,9,cin,7:11 PM,Manny Gonzalez,Great American Ball Park,"83 degrees, partly cloudy","5 mph, In from RF",0
32357,6,mia,8/19/2016,216,201601813,5,pit,7:07 PM,Paul Nauert,PNC Park,"83 degrees, partly cloudy","8 mph, Out to LF",0
37758,6,mil,8/19/2016,201,201601814,7,sea,7:10 PM,James Hoye,Safeco Field,"90 degrees, clear","2 mph, Out to RF",0
28463,4,min,8/19/2016,224,201601815,5,kca,7:16 PM,Brian Knight,Kauffman Stadium,"84 degrees, partly cloudy","14 mph, R to L",195
40256,7,nya,8/19/2016,175,201601816,0,ana,7:09 PM,Nic Lentz,Angel Stadium of Anaheim,"82 degrees, clear","6 mph, Out to RF",0
41434,1,nyn,8/19/2016,174,201601817,8,sfn,7:26 PM,Quinn Wolcott,AT&T Park,"60 degrees, partly cloudy","13 mph, Out to CF",0
20011,9,oak,8/19/2016,143,201601818,0,cha,7:11 PM,Carlos Torres,U.S. Cellular Field,"84 degrees, clear","10 mph, Out to LF",0
20627,4,sln,8/19/2016,234,201601819,3,phi,7:09 PM,Bill Welke,Citizens Bank Park,"87 degrees, cloudy","6 mph, Out to CF",0
15109,6,tex,8/19/2016,176,201601820,2,tba,7:11 PM,Chad Whitson,Tropicana Field,"72 degrees, dome","0 mph, None",0
30665,2,tor,8/19/2016,147,201601821,3,cle,7:10 PM,Mike Estabrook,Progressive Field,"83 degrees, clear","6 mph, L to R",0
30292,7,was,8/19/2016,216,201601822,6,atl,7:36 PM,Dan Bellino,Turner Field,"75 degrees, cloudy","11 mph, Out to RF",0
32599,2,ari,8/20/2016,172,201601823,1,sdn,5:40 PM,Marty Foster,Petco Park,"75 degrees, clear","13 mph, Out to RF",0
37886,3,bos,8/20/2016,156,201601824,2,det,8:30 PM,Brian O'Nora,Comerica Park,"75 degrees, overcast","14 mph, In from CF",151
48113,9,chn,8/20/2016,185,201601825,2,col,6:10 PM,Ryan Blakney,Coors Field,"76 degrees, clear","5 mph, In from RF",0
39373,12,hou,8/20/2016,201,201601826,2,bal,7:07 PM,Dale Scott,Oriole Park at Camden Yards,"86 degrees, partly cloudy","3 mph, Out to CF",0
29735,1,lan,8/20/2016,173,201601827,11,cin,7:10 PM,CB Bucknor,Great American Ball Park,"76 degrees, overcast","9 mph, Varies",79
37828,3,mia,8/20/2016,150,201601828,1,pit,7:08 PM,Ron Kulpa,PNC Park,"84 degrees, partly cloudy","10 mph, In from RF",0
29170,2,mil,8/20/2016,173,201601829,8,sea,6:11 PM,Marvin Hudson,Safeco Field,"82 degrees, clear","4 mph, Out to CF",0
29268,0,min,8/20/2016,151,201601830,10,kca,6:16 PM,Stu Scheurwater,Kauffman Stadium,"76 degrees, clear","13 mph, L to R",0
44129,5,nya,8/20/2016,171,201601831,1,ana,6:45 PM,Andy Fletcher,Angel Stadium of Anaheim,"80 degrees, clear","8 mph, Out to CF",0
41125,9,nyn,8/20/2016,201,201601832,5,sfn,1:06 PM,Mark Carlson,AT&T Park,"63 degrees, overcast","10 mph, Out to CF",0
21178,2,oak,8/20/2016,153,201601833,6,cha,6:11 PM,Sam Holbrook,U.S. Cellular Field,"78 degrees, overcast","17 mph, Out to LF",0
32288,2,sln,8/20/2016,176,201601834,4,phi,7:09 PM,D.J. Reyburn,Citizens Bank Park,"85 degrees, partly cloudy","7 mph, Out to LF",0
16505,2,tex,8/20/2016,176,201601835,8,tba,6:10 PM,Gary Cederstrom,Tropicana Field,"72 degrees, dome","0 mph, None",0
33604,6,tor,8/20/2016,180,201601836,5,cle,7:10 PM,Greg Gibson,Progressive Field,"85 degrees, partly cloudy","21 mph, Out to CF",0
42421,11,was,8/20/2016,206,201601837,9,atl,7:11 PM,Phil Cuzzi,Turner Field,"79 degrees, partly cloudy","5 mph, Out to CF",0
28150,1,ari,8/21/2016,150,201601838,9,sdn,1:42 PM,Doug Eddings,Petco Park,"78 degrees, sunny","12 mph, L to R",0
31032,5,bos,8/21/2016,189,201601839,10,det,1:10 PM,Tripp Gibson III,Comerica Park,"74 degrees, partly cloudy","14 mph, Out to LF",0
46206,4,chn,8/21/2016,180,201601840,11,col,2:10 PM,Alan Porter,Coors Field,"86 degrees, sunny","5 mph, Out to LF",0
29734,5,hou,8/21/2016,152,201601841,3,bal,5:40 PM,Lance Barrett,Oriole Park at Camden Yards,"79 degrees, overcast","2 mph, R to L",275
28752,4,lan,8/21/2016,175,201601842,0,cin,1:12 PM,Jim Reynolds,Great American Ball Park,"77 degrees, partly cloudy","12 mph, R to L",0
